id,OBJECTID,FULL_,GEOID,LABEL,STATEFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
57,58,Baca County,08009,Baca,08,BACA,009,14.0,3547.0,394.7,14.0,0.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.673306733663821,3.38201391171949
58,59,Elbert County,08039,Elbert,08,ELBERT,039,76.0,26218.0,289.88,75.0,1.0,2.0,2.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.500512699317142,3.29599722898002
59,60,Mesa County,08077,Mesa,08,MESA,077,213.0,153630.0,138.64,199.0,14.0,1.0,0.0,1.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.900045880504877,5.03656160808276
60,61,Dolores County,08033,Dolores,08,DOLORES,033,2.0,2053.0,-1.0,2.0,0.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.282849017190074,3.16637669425976
61,62,Arapahoe County,08005,Arapahoe,08,ARAPAHOE,005,6276.0,651342.0,963.55,6197.0,79.0,360.0,352.0,8.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.218915734368238,3.71431429249478
62,63,Las Animas County,08071,Las Animas,08,LAS ANIMAS,071,13.0,14491.0,89.71,11.0,2.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",1.25727666851049,5.53775154815317
63,64,Grand County,08049,Grand,08,GRAND,049,39.0,15474.0,252.04,39.0,0.0,1.0,1.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.511446195800545,4.13096504799278
64,65,OUT OF STATE,,OUT OF STATE,08,OUT OF STATE,,,,,,,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",,
65,66,UNKNOWN,,UNKNOWN,08,UNKNOWN,,,,,,,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",,
66,67,INTERNATIONAL,,INTERNATIONAL,08,INTERNATIONAL,,18.0,,,18.0,0.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",,
